###################################################################################################
### CosmicWatch: The Desktop Muon Detector
### Device ID: Umbriel
### Launch time: 21:37:13 26/4/2022
### Questions? Email Spencer N. Axani (saxani@mit.edu)
### Event Time Date TimeStamp[ms] ADC1 ADC2 SiPM[mV] Temp[C] Pressure[Pa] DeadTime[us] Coincident ID
###################################################################################################
1	21:37:14	26/4/2022 	86	68.00	7.00	5.95	30.25	101010.12	47972	0	Umbriel	
2	21:37:14	26/4/2022 	461	156.00	7.00	8.18	30.25	101010.12	5940	0	Umbriel	
3	21:37:14	26/4/2022 	630	647.00	11.00	15.04	30.25	101010.12	49818	0	Umbriel	
4	21:37:14	26/4/2022 	853	439.00	8.00	12.41	30.25	101009.78	1849	0	Umbriel	
5	21:37:15	26/4/2022 	1251	680.00	15.00	16.44	30.25	101009.61	1848	0	Umbriel	
6	21:37:15	26/4/2022 	1427	753.00	35.00	20.75	30.25	101009.61	1850	0	Umbriel	
7	21:37:15	26/4/2022 	1791	955.00	212.00	46.55	30.25	101009.61	49817	1	Umbriel	
8	21:37:17	26/4/2022 	3276	179.00	7.00	8.79	30.25	101009.87	49818	0	Umbriel	
9	21:37:17	26/4/2022 	3948	766.00	38.00	21.17	30.25	101009.70	51808	0	Umbriel	
10	21:37:18	26/4/2022 	4009	149.00	8.00	7.99	30.25	101009.70	1849	0	Umbriel	
11	21:37:18	26/4/2022 	4094	172.00	8.00	8.62	30.25	101009.70	1848	0	Umbriel	
12	21:37:18	26/4/2022 	4434	948.00	195.00	44.94	30.25	101009.53	1847	0	Umbriel	
13	21:37:18	26/4/2022 	4687	945.00	152.00	39.60	30.25	101009.53	49820	0	Umbriel	
14	21:37:19	26/4/2022 	5065	137.00	8.00	7.64	30.25	101009.53	1850	0	Umbriel	
15	21:37:19	26/4/2022 	5230	247.00	7.00	10.22	30.25	101009.53	3835	0	Umbriel	
16	21:37:19	26/4/2022 	5674	847.00	92.00	28.31	30.25	101009.53	49818	0	Umbriel	
17	21:37:20	26/4/2022 	6717	71.00	7.00	5.99	30.25	101009.79	49818	0	Umbriel	
18	21:37:20	26/4/2022 	6889	224.00	7.00	9.79	30.25	101009.79	1850	0	Umbriel	
19	21:37:20	26/4/2022 	6930	794.00	69.00	24.56	30.25	101009.79	1850	0	Umbriel	
20	21:37:21	26/4/2022 	7240	346.00	8.00	11.62	30.25	101009.79	1849	0	Umbriel	
21	21:37:21	26/4/2022 	7591	140.00	7.00	7.73	30.25	101009.62	49814	0	Umbriel	
22	21:37:21	26/4/2022 	7772	348.00	8.00	11.64	30.25	101009.62	3836	0	Umbriel	
23	21:37:22	26/4/2022 	8008	446.00	8.00	12.46	30.25	101009.62	1846	0	Umbriel	
24	21:37:22	26/4/2022 	8086	978.00	807.00	143.43	30.25	101009.62	1849	1	Umbriel	
25	21:37:22	26/4/2022 	8628	163.00	7.00	8.37	30.25	101009.62	49819	0	Umbriel	
26	21:37:22	26/4/2022 	8721	874.00	106.00	31.03	30.25	101009.45	1849	0	Umbriel	
27	21:37:23	26/4/2022 	9299	65.00	7.00	5.92	30.25	101009.45	1850	0	Umbriel	
28	21:37:23	26/4/2022 	9440	976.00	716.00	129.30	30.25	101009.45	3837	0	Umbriel	
29	21:37:23	26/4/2022 	9594	622.00	10.00	14.51	30.25	101009.45	49820	0	Umbriel	
30	21:37:23	26/4/2022 	9645	949.00	185.00	43.90	30.25	101009.45	2601	0	Umbriel	
31	21:37:24	26/4/2022 	10118	224.00	8.00	9.81	30.26	101009.70	1850	0	Umbriel	
32	21:37:24	26/4/2022 	10183	240.00	8.00	10.11	30.26	101009.70	1849	0	Umbriel	
33	21:37:24	26/4/2022 	10242	958.00	258.00	51.16	30.26	101009.70	1848	0	Umbriel	
34	21:37:24	26/4/2022 	10768	712.00	20.00	17.97	30.26	101009.53	52003	0	Umbriel	
35	21:37:24	26/4/2022 	10795	604.00	9.00	14.07	30.26	101009.53	1850	0	Umbriel	
36	21:37:24	26/4/2022 	10838	539.00	8.00	13.16	30.26	101009.53	1850	0	Umbriel	
37	21:37:25	26/4/2022 	11145	652.00	11.00	15.09	30.26	101009.53	1848	0	Umbriel	
38	21:37:25	26/4/2022 	11217	629.00	10.00	14.59	30.26	101009.53	1850	1	Umbriel	
39	21:37:25	26/4/2022 	11328	945.00	181.00	43.46	30.26	101009.53	1849	0	Umbriel	
40	21:37:26	26/4/2022 	12577	900.00	123.00	34.44	30.26	101009.20	97789	0	Umbriel	
41	21:37:26	26/4/2022 	12650	145.00	7.00	7.87	30.26	101009.20	3838	0	Umbriel	
42	21:37:26	26/4/2022 	12660	239.00	8.00	10.10	30.26	101009.20	1850	0	Umbriel	
43	21:37:26	26/4/2022 	12839	214.00	8.00	9.60	30.26	101009.20	1847	0	Umbriel	
44	21:37:27	26/4/2022 	13155	794.00	67.00	24.31	30.26	101009.20	1847	0	Umbriel	
45	21:37:27	26/4/2022 	13251	492.00	8.00	12.77	30.26	101009.20	1850	0	Umbriel	
46	21:37:27	26/4/2022 	13739	650.00	11.00	15.07	30.26	101009.03	49817	0	Umbriel	
47	21:37:27	26/4/2022 	13920	969.00	372.00	69.78	30.26	101009.03	3837	0	Umbriel	
48	21:37:28	26/4/2022 	14048	962.00	414.00	76.38	30.26	101009.03	1849	0	Umbriel	
49	21:37:28	26/4/2022 	14200	107.00	7.00	6.78	30.26	101009.03	1849	0	Umbriel	
50	21:37:28	26/4/2022 	14680	171.00	8.00	8.59	30.26	101009.28	49817	0	Umbriel	
51	21:37:28	26/4/2022 	14734	952.00	212.00	46.55	30.26	101009.28	1846	0	Umbriel	
52	21:37:29	26/4/2022 	15669	268.00	7.00	10.56	30.26	101008.95	49820	0	Umbriel	
53	21:37:29	26/4/2022 	15764	636.00	10.00	14.67	30.26	101008.95	3838	0	Umbriel	
54	21:37:30	26/4/2022 	16102	717.00	24.00	18.83	30.26	101008.95	1849	0	Umbriel	
55	21:37:30	26/4/2022 	16227	146.00	8.00	7.90	30.26	101008.78	1849	0	Umbriel	
56	21:37:30	26/4/2022 	16335	932.00	147.00	38.80	30.26	101008.78	1847	0	Umbriel	
57	21:37:30	26/4/2022 	16431	270.00	8.00	10.62	30.26	101008.78	1849	0	Umbriel	
58	21:37:30	26/4/2022 	16469	91.00	7.00	6.37	30.26	101008.78	1847	0	Umbriel	
59	21:37:30	26/4/2022 	16474	563.00	8.00	13.41	30.26	101008.78	1848	0	Umbriel	
60	21:37:30	26/4/2022 	16720	182.00	9.00	8.88	30.26	101008.78	51801	0	Umbriel	
61	21:37:30	26/4/2022 	16828	419.00	8.00	12.27	30.26	101008.61	1849	0	Umbriel	
62	21:37:30	26/4/2022 	16943	582.00	8.00	13.63	30.26	101008.61	1847	0	Umbriel	
63	21:37:30	26/4/2022 	16971	118.00	7.00	7.09	30.26	101008.61	1847	0	Umbriel	
64	21:37:31	26/4/2022 	17155	393.00	8.00	12.06	30.26	101008.61	1849	0	Umbriel	
65	21:37:31	26/4/2022 	17187	607.00	10.00	14.30	30.26	101008.61	1848	0	Umbriel	
